Date,Block,Primary Type,Description,Location Description,Ward,Community Area,Year,Location
05/03/2016 08:00:00 PM,100XX S SANGAMON ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,34.0,73.0,2016,"(41.711843569, -87.646607932)"
05/03/2016 11:00:00 PM,084XX S MORGAN ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,21.0,71.0,2016,"(41.740895923, -87.648617881)"
05/03/2016 04:45:00 PM,003XX W MONROE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,2.0,32.0,2016,"(41.88063228, -87.635935494)"
05/03/2016 07:00:00 PM,059XX S MOZART ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,16.0,66.0,2016,"(41.785913194, -87.694801653)"
05/03/2016 09:00:00 PM,029XX N MOBILE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,29.0,19.0,2016,"(41.933825894, -87.78335189)"
05/03/2016 09:30:00 AM,071XX S EAST END AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,8.0,43.0,2016,"(41.765298896, -87.583654511)"
05/03/2016 08:30:00 PM,054XX W HIGGINS AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,45.0,11.0,2016,"(41.969211609, -87.763459102)"
05/03/2016 10:00:00 PM,065XX N WHIPPLE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,50.0,2.0,2016,"(41.99973106, -87.705809711)"
05/03/2016 11:30:00 PM,009XX W 19TH ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,25.0,31.0,2016,"(41.856695068, -87.648852364)"
05/03/2016 06:30:00 PM,026XX N MOZART ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,35.0,22.0,2016,"(41.929201886, -87.698765756)"
05/04/2016 04:30:00 AM,043XX N CENTRAL AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),38.0,15.0,2016,"(41.959943835, -87.767225719)"
05/04/2016 02:00:00 AM,050XX S MICHIGAN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),3.0,38.0,2016,"(41.803160112, -87.622677645)"
05/04/2016 12:00:00 AM,064XX S YALE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,20.0,68.0,2016,"(41.77735648, -87.631750523)"
05/04/2016 07:00:00 PM,036XX E 106TH ST,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),10.0,52.0,2016,"(41.702735533, -87.535758048)"
05/04/2016 07:00:00 AM,025XX E 76TH ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,7.0,43.0,2016,"(41.757211342, -87.563304897)"
05/04/2016 07:00:00 AM,043XX W WABANSIA AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,31.0,23.0,2016,"(41.911590736, -87.73531182)"
05/04/2016 06:16:00 PM,0000X W 123RD ST,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,RESIDENCE,9.0,53.0,2016,"(41.670715539, -87.624224123)"
05/04/2016 08:30:00 PM,006XX E 74TH ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,6.0,69.0,2016,"(41.760331842, -87.609783231)"
05/04/2016 09:00:00 PM,023XX W LE MOYNE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,1.0,24.0,2016,"(41.9085179, -87.685366857)"
05/04/2016 09:00:00 PM,048XX W PATTERSON AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,38.0,15.0,2016,"(41.947024743, -87.748203108)"
05/04/2016 07:30:00 PM,049XX W ADAMS ST,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,28.0,25.0,2016,"(41.878562813, -87.747906394)"
05/04/2016 11:40:00 PM,065XX S GREENWOOD AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,20.0,42.0,2016,"(41.77611101, -87.599747632)"
